,date,oil_price
0,2013-01-01,93.14
1,2013-01-02,93.14
2,2013-01-03,92.97
3,2013-01-04,93.12
4,2013-01-05,93.16
5,2013-01-06,93.18
6,2013-01-07,93.2
7,2013-01-08,93.21
8,2013-01-09,93.08
9,2013-01-10,93.81
10,2013-01-11,93.6
11,2013-01-12,93.935
12,2013-01-13,94.10249999999999
13,2013-01-14,94.27
14,2013-01-15,93.26
15,2013-01-16,94.28
16,2013-01-17,95.49
17,2013-01-18,95.61
18,2013-01-19,95.85
19,2013-01-20,95.97
20,2013-01-21,96.03
21,2013-01-22,96.09
22,2013-01-23,95.06
23,2013-01-24,95.35
24,2013-01-25,95.15
25,2013-01-26,95.55000000000001
26,2013-01-27,95.75
27,2013-01-28,95.95
28,2013-01-29,97.62
29,2013-01-30,97.98
30,2013-01-31,97.65
31,2013-02-01,97.46
32,2013-02-02,96.835
33,2013-02-03,96.5225
34,2013-02-04,96.21
35,2013-02-05,96.68
36,2013-02-06,96.44
37,2013-02-07,95.84
38,2013-02-08,95.71
39,2013-02-09,96.36
40,2013-02-10,96.685
41,2013-02-11,97.01
42,2013-02-12,97.48
43,2013-02-13,97.03
44,2013-02-14,97.3
45,2013-02-15,95.95
46,2013-02-16,96.32
47,2013-02-17,96.505
48,2013-02-18,96.5975
49,2013-02-19,96.69
50,2013-02-20,94.92
51,2013-02-21,92.79
52,2013-02-22,93.12
53,2013-02-23,92.93
54,2013-02-24,92.83500000000001
55,2013-02-25,92.74
56,2013-02-26,92.63
57,2013-02-27,92.84
58,2013-02-28,92.03
59,2013-03-01,90.71
60,2013-03-02,90.41999999999999
61,2013-03-03,90.27499999999999
62,2013-03-04,90.13
63,2013-03-05,90.88
64,2013-03-06,90.47
65,2013-03-07,91.53
66,2013-03-08,92.01
67,2013-03-09,92.03999999999999
68,2013-03-10,92.05499999999999
69,2013-03-11,92.07
70,2013-03-12,92.44
71,2013-03-13,92.47
72,2013-03-14,93.03
73,2013-03-15,93.49
74,2013-03-16,93.6
75,2013-03-17,93.655
76,2013-03-18,93.71
77,2013-03-19,92.44
78,2013-03-20,93.21
79,2013-03-21,92.46
80,2013-03-22,93.41
81,2013-03-23,93.97999999999999
82,2013-03-24,94.26499999999999
83,2013-03-25,94.55
84,2013-03-26,95.99
85,2013-03-27,96.53
86,2013-03-28,97.24
87,2013-03-29,97.16999999999999
88,2013-03-30,97.13499999999999
89,2013-03-31,97.11749999999999
90,2013-04-01,97.1
91,2013-04-02,97.23
92,2013-04-03,95.02
93,2013-04-04,93.26
94,2013-04-05,92.76
95,2013-04-06,93.06
96,2013-04-07,93.21000000000001
97,2013-04-08,93.36
98,2013-04-09,94.18
99,2013-04-10,94.59
100,2013-04-11,93.44
101,2013-04-12,91.23
102,2013-04-13,89.99000000000001
103,2013-04-14,89.37
104,2013-04-15,88.75
105,2013-04-16,88.73
106,2013-04-17,86.65
107,2013-04-18,87.83
108,2013-04-19,88.04
109,2013-04-20,88.42500000000001
110,2013-04-21,88.6175
111,2013-04-22,88.81
112,2013-04-23,89.21
113,2013-04-24,91.07
114,2013-04-25,93.27
115,2013-04-26,92.63
116,2013-04-27,93.36
117,2013-04-28,93.725
118,2013-04-29,94.09
119,2013-04-30,93.22
120,2013-05-01,90.74
121,2013-05-02,93.7
122,2013-05-03,95.25
123,2013-05-04,95.525
124,2013-05-05,95.6625
125,2013-05-06,95.8
126,2013-05-07,95.28
127,2013-05-08,96.24
128,2013-05-09,96.09
129,2013-05-10,95.81
130,2013-05-11,95.285
131,2013-05-12,95.02250000000001
132,2013-05-13,94.76
133,2013-05-14,93.96
134,2013-05-15,93.95
135,2013-05-16,94.85
136,2013-05-17,95.72
137,2013-05-18,96.005
138,2013-05-19,96.14750000000001
139,2013-05-20,96.29
140,2013-05-21,95.55
141,2013-05-22,93.98
142,2013-05-23,94.12
143,2013-05-24,93.84
144,2013-05-25,94.245
145,2013-05-26,94.4475
146,2013-05-27,94.54875000000001
147,2013-05-28,94.65
148,2013-05-29,93.13
149,2013-05-30,93.57
150,2013-05-31,91.93
151,2013-06-01,92.67
152,2013-06-02,93.03999999999999
153,2013-06-03,93.41
154,2013-06-04,93.36
155,2013-06-05,93.66
